OBJECTID,Class_name,Shape_Length,Shape_Area,Year
32758,disk,27.34173256,13.85357249,2021
33442,disk,30.65055796,15.34822438,2021
34050,disk,31.20392161,12.80621159,2021
35490,disk,18.80043431,4.540309801,2021
40715,disk,18.0131831,7.42803907,2021
40879,disk,17.76062313,4.140418561,2021
41128,disk,35.49274809,21.53914335,2021
46697,disk,27.91294397,15.02721862,2021
49524,disk,20.00679012,10.06366754,2021
54423,disk,31.10196796,17.83647783,2021
54948,disk,16.51794215,6.37014135,2021
60730,disk,50.32784878,41.09507321,2021
61653,disk,34.46480473,22.33783283,2021
62847,disk,15.4377594,5.565976356,2021
63629,disk,19.20882407,5.321260475,2021
64742,disk,17.94318547,6.959091765,2021
64874,disk,19.61185108,7.448158411,2021
71616,disk,32.56236744,16.2850082,2021
73307,disk,27.57251782,16.58741495,2021
77005,disk,23.31844145,12.53289,2021
79444,disk,11.83729835,3.441393995,2021
79925,disk,34.65703596,15.85332464,2021
81112,disk,18.79797051,7.314581785,2021
82084,disk,22.75562311,9.094016636,2021
83630,disk,21.01049758,8.007397536,2021
83940,disk,16.9026667,6.15874356,2021
87693,disk,48.13952144,17.24087759,2021
88370,disk,28.47988154,12.39999404,2021
88523,disk,10.62917371,2.968874286,2021
89020,disk,17.90032268,3.850622859,2021
89317,disk,49.685193,29.95356247,2021
97041,disk,21.15948824,10.75171428,2021
97582,disk,33.42293236,14.50234326,2021
97807,disk,38.14985207,15.66837188,2021
98389,disk,23.94812133,13.16416062,2021
103989,disk,32.81946783,12.09685306,2021
104658,disk,12.99467024,3.369817995,2021
106116,disk,37.41143301,18.30180849,2021
116674,disk,25.97750356,10.62795606,2021
119058,disk,14.55219086,5.940005875,2021
119423,disk,11.34968539,3.40617543,2021
890,disk,22.44071036,4.249848195,2023
2052,disk,18.82350414,2.883118595,2023
2112,disk,20.17546054,3.655710231,2023
2554,disk,36.67570457,9.798761295,2023
3244,disk,39.69944743,19.52424794,2023
3509,disk,24.83333527,8.90673317,2023
3662,disk,36.98071987,6.897609214,2023
4075,disk,22.96864312,5.968194335,2023
4468,disk,51.329563,22.31879713,2023
4648,disk,20.50502488,8.750916664,2023
5025,disk,28.26856572,11.36851925,2023
5093,disk,21.44031293,8.949627964,2023
5561,disk,65.60618794,15.02120651,2023
5581,disk,67.07242788,13.38450453,2023
6371,disk,64.4542868,15.4141039,2023
7156,disk,49.90583496,13.42809326,2023
7325,disk,0.984797733,0.03474682,2023
7902,disk,37.46600551,9.43952262,2023
7963,disk,73.49974859,12.79341611,2023
8588,disk,34.41778384,9.137114566,2023
9158,disk,29.3128755,5.765817805,2023
9188,disk,40.68712933,7.60892023,2023
9844,disk,23.59766275,8.837197315,2023
10309,disk,32.66236304,4.098135801,2023
10473,disk,45.93898831,9.597860459,2023
10827,disk,31.18226894,7.15711975,2023
11668,disk,44.49755354,8.712682587,2023
12169,disk,39.40056291,8.874020789,2023
12291,disk,63.91916806,16.49517536,2023
12632,disk,41.08565206,7.002305141,2023
13254,disk,50.97022322,14.6412228,2023
13725,disk,30.35606466,6.647794686,2023
15106,disk,38.91741045,8.135990602,2023
15706,disk,29.35299494,4.49746103,2023
16919,disk,18.77333628,3.042611895,2023
17701,disk,21.00317777,2.997919074,2023
18155,disk,36.96692653,12.26862152,2023
18200,disk,36.54870963,7.257853725,2023
18868,disk,25.46714649,5.658441285,2023
19383,disk,42.71493991,17.11138239,2023
19522,disk,47.26127468,22.52009952,2023
19597,disk,15.37210818,4.353775085,2023
19896,disk,20.18782303,2.92309876,2023
20384,disk,32.56695429,6.65922757,2023
20398,disk,25.72953058,3.54003818,2023
20611,disk,23.8573842,8.026552775,2023
21040,disk,38.5079652,6.851017038,2023
21125,disk,19.39513005,3.857988175,2023
21199,disk,16.80335655,3.73897566,2023
21224,disk,19.94994531,3.002509369,2023
21957,disk,52.51950857,17.26010422,2023
22036,disk,16.58007045,3.23108406,2023
22596,disk,26.44663646,9.359666486,2023
23263,disk,80.2116431,24.79070043,2023
24621,disk,46.05871332,7.324596795,2023
24955,disk,35.77993861,9.851298765,2023
25255,disk,22.46548095,4.044488596,2023
25487,disk,45.92676673,14.47790218,2023
25491,disk,29.31900211,6.432121875,2023
25895,disk,25.8845064,5.336299417,2023
25993,disk,30.09861452,3.1968032,2023
